,control,['state']
1287,36,Light
1288,81,Light
1289,91,Light
1290,106,Light
1291,98,Light
1292,102,Light
1293,110,Light
1294,118,Light
1295,235,Light
1296,109,Light
1297,103,Light
1298,98,Light
1299,95,Light
1300,89,Light
1301,87,Light
1302,74,Light
1303,49,Light
1304,22,Light
1305,44,Light
1306,47,Light
1307,22,Light
1308,22,Light
1309,21,Light
1310,22,Light
1311,21,Light
1312,22,Light
1313,21,Light
1314,21,Light
1315,21,Light
1316,22,Light
1317,21,Light
1318,21,Light
1319,22,Light
1320,21,Light
1321,21,Light
1322,20,Light
1323,20,Light
1324,22,Light
1325,22,Light
1326,21,Light
1327,35,Light
1328,24,Light
1329,-74,Light
1330,None,Light
1331,None,Light
1332,None,Light
1333,None,Light
1334,None,Light
1335,None,Light
1336,-10,Lane
1337,-10,Lane
1338,-10,Lane
1339,-10,Lane
1340,-10,Lane
1341,-10,Lane
1342,-10,Lane
1343,-10,Lane
1344,-10,Lane
1345,-11,Lane
1346,-10,Lane
1347,-10,Lane
1348,-10,Lane
1349,-10,Lane
1350,-10,Lane
1351,-10,Lane
1352,-10,Lane
1353,-10,Lane
1354,-10,Lane
1355,-10,Lane
1356,-10,Lane
1357,-10,Lane
1358,-10,Lane
1359,-10,Lane
1360,-10,Lane
1361,-10,Lane
1362,-10,Lane
1363,-10,Lane
1364,-10,Lane
1365,-10,Lane
1366,-10,Lane
1367,-10,Lane
1368,-10,Lane
1369,-10,Lane
1370,-10,Lane
1371,-10,Lane
1372,-10,Lane
1373,-10,Lane
1374,-10,Lane
1375,-10,Lane
1376,-10,Lane
1377,-10,Lane
1378,-11,Lane
1379,-10,Lane
1380,-10,Lane
1381,-10,Lane
1382,-10,Lane
1383,-10,Lane
1384,-10,Lane
1385,-10,Lane
1386,-10,Lane
1387,-10,Lane
1388,-10,Lane
1389,-10,Lane
1390,-10,Lane
1391,-10,Lane
1392,-10,Lane
1393,-10,Lane
1394,-10,Lane
1395,-10,Lane
1396,-10,Lane
1397,-10,Lane
1398,-10,Lane
1399,-10,Lane
1400,-10,Lane
1401,-10,Lane
1402,-10,Lane
1403,-10,Lane
1404,-10,Lane
1405,-10,Lane
1406,-10,Lane
1407,-10,Lane
1408,-10,Lane
1409,-10,Lane
1410,-10,Lane
1411,-10,Lane
1412,-10,Lane
1413,-10,Lane
1414,-10,Lane
1415,-10,Lane
1416,-10,Lane
1417,-10,Lane
1418,-10,Lane
1419,-10,Lane
1420,-10,Lane
1421,-10,Lane
1422,-10,Lane
1423,-10,Lane
1424,-10,Lane
1425,-10,Lane
1426,-10,Lane
1427,-10,Lane
1428,-10,Lane
1429,-10,Lane
1430,-10,Lane
1431,-10,Lane
1432,-10,Lane
1433,-10,Lane
1434,-10,Lane
1435,-10,Lane
1436,-10,Lane
1437,-10,Lane
